"","date","Austria","Belgium","Bulgaria","Croatia","Cyprus","Czechia","Denmark","Estonia","Finland","France","Germany","Greece","Hungary","Ireland","Italy","Latvia","Lithuania","Luxembourg","Malta","Netherlands","Poland","Portugal","Romania","Slovakia","Slovenia","Sweden","United.Kingdom"
"778",2022-03-09,4689.15848974604,699.060426681672,390.240682944766,502.447595164767,3194.08972952361,1078.13292268399,4172.64244160562,3678.16005193158,1328.85241700721,1142.99365392174,2734.4549748984,1938.77645215453,417.006216056146,906.664437303231,920.457552811945,5567.43654060901,2788.72114363263,1540.00527778411,275.549630338014,4156.86392959029,453.635090285123,1606.82255648916,430.194857873447,3285.8379196763,1202.9844663964,275.351814263378,959.082818172226
"779",2022-03-10,4869.36399219982,803.071427841899,373.65506106466,482.06119061509,3590.59663271679,1057.65366485756,3984.90823672629,3533.08373967784,1367.27269827629,1154.95105620213,2790.38178788806,1995.13287163464,384.927240585972,913.352527608763,933.153142006734,5357.38095634927,2754.97247139057,1598.15863976517,287.301011631841,4349.74487857799,440.886495316702,1569.81621481077,393.191507071689,3204.46805852245,1199.90888592864,266.358819513039,1027.51939198806
"780",2022-03-11,5113.37064097463,838.181142207525,355.540876272261,469.991261567629,3714.46936233515,1040.58292174501,3830.62172229426,3318.03565767425,1749.44576025853,1176.23203884543,2841.08450895578,2045.03683540988,360.062197398564,1011.65522078854,952.855079460008,5162.79437990633,2737.65077747206,1638.88228260905,299.255002947976,4532.84695902938,427.542737682951,1579.90708420874,362.286704063539,3200.41332586969,1212.21120779967,248.626979864001,1088.89939597083
"781",2022-03-12,5335.88447612678,838.181142207525,348.283773847546,462.729678238261,3643.68494541037,1033.39029840936,3653.77265663362,3158.013918872,1749.44576025853,1201.45256248713,2914.86622500264,2111.41693969164,360.062197398564,1011.65522078854,978.302586967768,4975.70792846547,2637.83630569784,1638.88228260905,305.535913639504,4689.95113632478,420.071602808873,1598.14265725773,339.375943433497,3067.4694670375,1233.64415918436,248.626979864001,1088.89939597083
"782",2022-03-13,5545.40554422028,838.181142207525,345.412361273987,460.963347158145,3749.51906555436,1048.32954609476,3485.0529987439,2944.9283676273,1749.44576025853,1225.97918970297,2961.4747130884,2146.58841789796,360.062197398564,1011.65522078854,1008.37239564393,4835.08058467641,2595.9994044773,1638.88228260905,328.836066204851,4834.3717160867,416.598064952366,1621.20472135918,325.875695319437,3043.65479290499,1243.20729220129,248.626979864001,1088.89939597083
"783",2022-03-14,5719.94434896473,879.663330836429,340.755244363639,459.56500171972,3912.32322448136,1048.32954609476,3335.45122777309,2842.57484035567,2235.49856386076,1238.92446173372,2997.6458581943,2206.4414716112,274.415937530825,1087.03897036034,1027.29235239775,4755.96468274471,2602.36977951345,1753.07137714329,349.704898502509,4932.92998104462,413.264100641269,1634.40945595228,312.12305798081,2997.73173485131,1256.27850918926,248.626979864001,1221.73485926892
"784",2022-03-15,5869.07331995677,822.686427389278,337.212406959447,460.300973003101,4061.65551050977,1023.17414411538,3187.08953595377,2695.08310562944,1989.46378154518,1293.87508966,3090.12686015224,2294.2023286838,253.572277871258,1147.8842797253,1092.36573780724,4585.44100735012,2614.18002536698,1799.00764627118,371.586780911705,5027.83129634873,412.5003963362,1639.88791252997,293.544120572411,2946.23112599926,1337.73333564002,215.753674053793,1252.28682077027
"785",2022-03-16,6013.48380560518,1047.03243912388,332.569575683793,463.956297043898,4244.89581561344,1014.61060301602,2999.82036075625,2473.99646744463,2175.78402292603,1370.18131274848,3181.897183246,2370.07462936376,267.519213617939,1190.90827528832,1152.34133802133,4302.31128852148,2618.97570095599,1862.53652910763,398.939133923199,5095.97091521472,411.820962851,1668.4576256953,278.508933908946,2905.51867461248,1388.76874902687,201.403982430425,1323.13910316174
"786",2022-03-17,6272.49252859453,1086.637803141,341.369526655494,473.940974121778,4462.38664503556,1010.77954515578,3143.22173596958,2337.07220603554,2144.3591324918,1432.05747467991,3283.38935229367,2449.07991431661,243.380679922839,1108.46940606496,1218.24640629338,4112.36020600343,2612.82005766263,1953.75748907792,435.003717893909,5069.26708190404,407.099163475173,1715.32129688204,268.619396946338,2889.318091208,1444.85003661863,193.261412183651,1390.8044507615
"787",2022-03-18,6499.49908424133,958.201893777139,333.88385407567,488.366011276061,4639.46185576191,1011.5495126669,2688.04379408417,2201.20469195815,2075.76443220714,1491.43411722788,3380.05613230759,2519.67462839403,246.020672162489,1027.00928176435,1284.88706657933,3932.51345855764,2588.59115935099,2091.89208560436,476.133552422304,4987.72636272439,404.91075562168,1720.79975345972,259.074963617321,2842.49602003221,1504.05496062296,192.772662468958,1462.30042195977
"788",2022-03-19,6712.94846070704,1058.60764579937,327.183891404034,494.523637680356,4812.19866674126,1015.62470656726,2526.437367994,2074.54597605712,2075.76443220714,1557.72883252911,3461.9998144285,2582.22242155627,246.020672162489,1027.00928176435,1341.88550722366,3728.34338905648,2576.92406799266,2091.89208560436,509.564206103019,4838.74038220795,398.719483824374,1692.22030946565,250.478277580554,2815.52562636905,1568.01742316335,192.772662468958,1462.30042195977
